Rank,Player,Team,Position,Year
63,Jordan Montgomery,TEX,SP,2021
64,Framber Valdez,HOU,SP,2021
65,Aaron Judge,NYY,RF,2021
66,Brandon Nimmo,NYM,CF,2021
66,Michael Wacha,SD,SP,2021
66,Isaac Paredes,TB,3B,2021
69,Justin Verlander,HOU,SP,2021
70,Josh Hader,SD,RP,2021
71,Spencer Torkelson,DET,1B,2021
72,Anthony Santander,BAL,RF,2021
73,Vladimir Guerrero Jr.,TOR,1B,2021
74,Xander Bogaerts,SD,SS,2021
75,David Bednar,PIT,RP,2021
76,Tanner Bibee,CLE,SP,2021
77,Spencer Steer,CIN,1B,2021
78,Justin Turner,BOS,DH,2021
79,Pablo Lopez,MIN,SP,2021
80,Shohei Ohtani,LAA,DH,2021
81,Evan Phillips,LAD,RP,2021
82,Eduardo Rodriguez,DET,SP,2021
83,Alexis Diaz,CIN,RP,2021
84,Gleyber Torres,NYY,2B,2021
85,Jose Altuve,HOU,2B,2021
86,Luis Robert Jr.,CHW,CF,2021
87,Logan Gilbert,SEA,SP,2021
88,Bo Bichette,TOR,SS,2021
89,Seiya Suzuki,CHC,RF,2021
90,Fernando Tatis Jr.,SD,RF,2021
91,Shane McClanahan,TB,SP,2021
92,Steven Kwan,CLE,LF,2021
93,Teoscar Hernandez,SEA,RF,2021
94,Eugenio Suarez,SEA,3B,2021
95,Will Smith,LAD,C,2021
96,Jesus Luzardo,MIA,SP,2021
97,Jorge Soler,MIA,DH,2021
98,Alec Bohm,PHI,1B,2021
98,Bryce Elder,ATL,SP,2021
100,Camilo Doval,SF,RP,2021
1,Ronald Acuna Jr.,ATL,RF,2022
2,Mookie Betts,LAD,RF,2022
3,Freddie Freeman,LAD,1B,2022
4,Matt Olson,ATL,1B,2022
5,Kyle Tucker,HOU,RF,2022
6,Gerrit Cole,NYY,SP,2022
7,Juan Soto,SD,LF,2022
8,Austin Riley,ATL,3B,2022
9,Corey Seager,TEX,SS,2022
10,Marcus Semien,TEX,2B,2022
11,Blake Snell,SD,SP,2022
12,Julio Rodriguez,SEA,CF,2022
13,Yandy Diaz,TB,1B,2022
13,Ozzie Albies,ATL,2B,2022
15,Corbin Carroll,ARI,LF,2022
16,Alex Bregman,HOU,3B,2022
17,Kyle Schwarber,PHI,LF,2022
18,Zac Gallen,ARI,SP,2022
19,Francisco Lindor,NYM,SS,2022
20,Bobby Witt Jr.,KC,SS,2022
21,Adolis Garcia,TEX,RF,2022
22,Justin Steele,CHC,SP,2022
23,Rafael Devers,BOS,3B,2022
24,Christian Yelich,MIL,LF,2022
25,Yordan Alvarez,HOU,LF,2022
26,Luis Castillo,SEA,SP,2022
27,Pete Alonso,NYM,1B,2022
28,Cody Bellinger,CHC,CF,2022
29,Kyle Bradish,BAL,SP,2022
30,Adley Rutschman,BAL,C,2022
31,Clayton Kershaw,LAD,SP,2022
32,Jose Ramirez,CLE,3B,2022
33,William Contreras,MIL,C,2022
34,Kodai Senga,NYM,SP,2022
35,Max Muncy,LAD,3B,2022
36,Kevin Gausman,TOR,SP,2022
37,Logan Webb,SF,SP,2022
38,Devin Williams,MIL,RP,2022
39,Trea Turner,PHI,SS,2022
40,Zack Wheeler,PHI,SP,2022
41,Luis Arraez,MIA,2B,2022
42,Marcell Ozuna,ATL,DH,2022
42,Nico Hoerner,CHC,2B,2022
44,Ketel Marte,ARI,2B,2022
45,Nathaniel Lowe,TEX,1B,2022
46,Sonny Gray,MIN,SP,2022
47,Christian Walker,ARI,1B,2022
48,Spencer Strider,ATL,SP,2022
49,Zach Eflin,TB,SP,2022
50,Felix Bautista,BAL,RP,2022
51,Corbin Burnes,MIL,SP,2022
52,Randy Arozarena,TB,LF,2022
53,Nick Castellanos,PHI,RF,2022
54,George Kirby,SEA,SP,2022
55,Merrill Kelly,ARI,SP,2022
56,Lane Thomas,WSH,RF,2022
57,J.P. Crawford,SEA,SS,2022
58,Ian Happ,CHC,LF,2022
59,Bryce Harper,PHI,DH,2022
60,Paul Goldschmidt,STL,1B,2022
61,Chris Bassitt,TOR,SP,2022
62,Gunnar Henderson,BAL,3B,2022
63,Jordan Montgomery,TEX,SP,2022
64,Framber Valdez,HOU,SP,2022
65,Aaron Judge,NYY,RF,2022
66,Brandon Nimmo,NYM,CF,2022
66,Michael Wacha,SD,SP,2022
66,Isaac Paredes,TB,3B,2022
69,Justin Verlander,HOU,SP,2022
70,Josh Hader,SD,RP,2022
71,Spencer Torkelson,DET,1B,2022
72,Anthony Santander,BAL,RF,2022
73,Vladimir Guerrero Jr.,TOR,1B,2022
74,Xander Bogaerts,SD,SS,2022
75,David Bednar,PIT,RP,2022
76,Tanner Bibee,CLE,SP,2022
77,Spencer Steer,CIN,1B,2022
78,Justin Turner,BOS,DH,2022
79,Pablo Lopez,MIN,SP,2022
80,Shohei Ohtani,LAA,DH,2022
81,Evan Phillips,LAD,RP,2022
82,Eduardo Rodriguez,DET,SP,2022
83,Alexis Diaz,CIN,RP,2022
84,Gleyber Torres,NYY,2B,2022
85,Jose Altuve,HOU,2B,2022
86,Luis Robert Jr.,CHW,CF,2022
87,Logan Gilbert,SEA,SP,2022
88,Bo Bichette,TOR,SS,2022
89,Seiya Suzuki,CHC,RF,2022
90,Fernando Tatis Jr.,SD,RF,2022
91,Shane McClanahan,TB,SP,2022
92,Steven Kwan,CLE,LF,2022
93,Teoscar Hernandez,SEA,RF,2022
94,Eugenio Suarez,SEA,3B,2022
95,Will Smith,LAD,C,2022
96,Jesus Luzardo,MIA,SP,2022
97,Jorge Soler,MIA,DH,2022
98,Alec Bohm,PHI,1B,2022
98,Bryce Elder,ATL,SP,2022
100,Camilo Doval,SF,RP,2022
1,Ronald Acuna Jr.,ATL,RF,2023
2,Mookie Betts,LAD,RF,2023
3,Freddie Freeman,LAD,1B,2023
4,Matt Olson,ATL,1B,2023
5,Kyle Tucker,HOU,RF,2023
6,Gerrit Cole,NYY,SP,2023
7,Juan Soto,SD,LF,2023
8,Austin Riley,ATL,3B,2023
9,Corey Seager,TEX,SS,2023
10,Marcus Semien,TEX,2B,2023
11,Blake Snell,SD,SP,2023
12,Julio Rodriguez,SEA,CF,2023
13,Yandy Diaz,TB,1B,2023
13,Ozzie Albies,ATL,2B,2023
15,Corbin Carroll,ARI,LF,2023
16,Alex Bregman,HOU,3B,2023
17,Kyle Schwarber,PHI,LF,2023
18,Zac Gallen,ARI,SP,2023
19,Francisco Lindor,NYM,SS,2023
20,Bobby Witt Jr.,KC,SS,2023
21,Adolis Garcia,TEX,RF,2023
22,Justin Steele,CHC,SP,2023
23,Rafael Devers,BOS,3B,2023
24,Christian Yelich,MIL,LF,2023
25,Yordan Alvarez,HOU,LF,2023
26,Luis Castillo,SEA,SP,2023
27,Pete Alonso,NYM,1B,2023
28,Cody Bellinger,CHC,CF,2023
29,Kyle Bradish,BAL,SP,2023
30,Adley Rutschman,BAL,C,2023
31,Clayton Kershaw,LAD,SP,2023
32,Jose Ramirez,CLE,3B,2023
33,William Contreras,MIL,C,2023
34,Kodai Senga,NYM,SP,2023
35,Max Muncy,LAD,3B,2023
36,Kevin Gausman,TOR,SP,2023
37,Logan Webb,SF,SP,2023
38,Devin Williams,MIL,RP,2023
39,Trea Turner,PHI,SS,2023
40,Zack Wheeler,PHI,SP,2023
41,Luis Arraez,MIA,2B,2023
42,Marcell Ozuna,ATL,DH,2023
42,Nico Hoerner,CHC,2B,2023
44,Ketel Marte,ARI,2B,2023
45,Nathaniel Lowe,TEX,1B,2023
46,Sonny Gray,MIN,SP,2023
47,Christian Walker,ARI,1B,2023
48,Spencer Strider,ATL,SP,2023
49,Zach Eflin,TB,SP,2023
50,Felix Bautista,BAL,RP,2023
51,Corbin Burnes,MIL,SP,2023
52,Randy Arozarena,TB,LF,2023
53,Nick Castellanos,PHI,RF,2023
54,George Kirby,SEA,SP,2023
55,Merrill Kelly,ARI,SP,2023
56,Lane Thomas,WSH,RF,2023
57,J.P. Crawford,SEA,SS,2023
58,Ian Happ,CHC,LF,2023
59,Bryce Harper,PHI,DH,2023
60,Paul Goldschmidt,STL,1B,2023
61,Chris Bassitt,TOR,SP,2023
62,Gunnar Henderson,BAL,3B,2023
63,Jordan Montgomery,TEX,SP,2023
64,Framber Valdez,HOU,SP,2023
65,Aaron Judge,NYY,RF,2023
66,Brandon Nimmo,NYM,CF,2023
66,Michael Wacha,SD,SP,2023
66,Isaac Paredes,TB,3B,2023
69,Justin Verlander,HOU,SP,2023
70,Josh Hader,SD,RP,2023
71,Spencer Torkelson,DET,1B,2023
72,Anthony Santander,BAL,RF,2023
73,Vladimir Guerrero Jr.,TOR,1B,2023
74,Xander Bogaerts,SD,SS,2023
75,David Bednar,PIT,RP,2023
76,Tanner Bibee,CLE,SP,2023
77,Spencer Steer,CIN,1B,2023
78,Justin Turner,BOS,DH,2023
79,Pablo Lopez,MIN,SP,2023
80,Shohei Ohtani,LAA,DH,2023
81,Evan Phillips,LAD,RP,2023
82,Eduardo Rodriguez,DET,SP,2023
83,Alexis Diaz,CIN,RP,2023
84,Gleyber Torres,NYY,2B,2023
85,Jose Altuve,HOU,2B,2023
86,Luis Robert Jr.,CHW,CF,2023
87,Logan Gilbert,SEA,SP,2023
88,Bo Bichette,TOR,SS,2023
89,Seiya Suzuki,CHC,RF,2023
90,Fernando Tatis Jr.,SD,RF,2023
91,Shane McClanahan,TB,SP,2023
92,Steven Kwan,CLE,LF,2023
93,Teoscar Hernandez,SEA,RF,2023
94,Eugenio Suarez,SEA,3B,2023
95,Will Smith,LAD,C,2023
96,Jesus Luzardo,MIA,SP,2023
97,Jorge Soler,MIA,DH,2023
98,Alec Bohm,PHI,1B,2023
98,Bryce Elder,ATL,SP,2023
100,Camilo Doval,SF,RP,2023
